"x","y","ground_altitude"
21.221037,-24.0596811111111,1162.135
21.2209346944444,-24.0596622777778,1162.159
21.2208388611111,-24.0596509722222,1162.24
21.2208630833333,-24.0597339166667,1162.083
21.2209635,-24.0597555277778,1162.098
21.2210501666667,-24.0598245555556,1162.187
21.2208946111111,-24.0598140277778,1161.973
21.2207735277778,-24.0598023055556,1162.001
21.2209438333333,-24.0598967777778,1162.044
21.22079025,-24.0598897777778,1161.807
21.2209883333333,-24.0599830555556,1162.043
21.2208281388889,-24.0599722222222,1161.608
21.2206763055556,-24.0599785555556,1161.68
