"Plot ID","Species","total_AGB"
"S1P01","Stipagrostis uniplumis",135.56
"S1P02","Stipagrostis uniplumis",143.47
"S1P03","Stipagrostis uniplumis",196.08
"S1P04","Stipagrostis uniplumis",200.04
"S1P05","Schmidtia kalihariensis",53.92
"S1P06","Stipagrostis uniplumis",61.61
"S1P07","Stipagrostis uniplumis",41.32
"S1P08","Schmidtia kalihariensis",4.72
"S1P09","Stipagrostis uniplumis",14.37
"S1P10","Schmidtia kalihariensis",8.43
"S1P11","Schmidtia kalihariensis",13.03
"S1P12","Schmidtia kalihariensis",23.85
"S1P13","Schmidtia kalihariensis",24.24
"S1P14","Schmidtia kalihariensis",14.35
"S1P15","Schmidtia kalihariensis",5.78
"S1P16","Schmidtia kalihariensis",10.76
"S1P17","Tribulus terrestris",24.07
"S1P18","Schmidtia kalihariensis",17.47
"S1P19","Tribulus terrestris",16.42
"S1P20","Tribulus terrestris",11.93
"S1P21","Tribulus terrestris",11.43
"S1P22","Tribulus terrestris",34.87
"S1P23","Tribulus terrestris",18.93
"S1P24","Tribulus terrestris",19.71
"S1P25","Tribulus terrestris",25.81
"S1P26","Tribulus terrestris",44.04
"S1P27","Tribulus terrestris",24.85
"S1P28","Tribulus terrestris",66.53
"S1P29","Stipagrostis uniplumis",25.02
"S1P30","Stipagrostis uniplumis",44.97
"S2P01","Schmidtia kalihariensis",25.47
"S2P02","Schmidtia kalihariensis",18.3
"S2P03","Schmidtia kalihariensis",20.52
"S2P04","Stipagrostis uniplumis",294.14
"S2P05","Stipagrostis uniplumis",182.33
"S2P06","Stipagrostis uniplumis",165.81
"S2P07","Schmidtia kalihariensis",20.41
"S2P08","Tribulus terrestris",60.39
"S2P09","Tribulus terrestris",46.9
"S2P10","Tribulus terrestris",42.87
"S2P11","Stipagrostis uniplumis",88.67
"S2P12","Tribulus terrestris",56.23
"S2P13","Tribulus terrestris",41.93
"S2P14","Schmidtia kalihariensis",27.56
"S2P15","Tribulus terrestris",28.73
"S2P16","Tribulus terrestris",43.49
"S2P17","Schmidtia kalihariensis",22.17
"S2P18","Stipagrostis uniplumis",41.84
"S2P19","Schmidtia kalihariensis",23.66
"S2P20","Stipagrostis uniplumis",250.63
"S2P21","Stipagrostis uniplumis",163.07
"S2P22","Schmidtia kalihariensis",40.38
"S2P23","Tribulus terrestris",35.87
"S2P24","Tribulus terrestris",31.51
"S2P25","Schmidtia kalihariensis",13.55
"S2P26","Tribulus terrestris",40.7
"S2P27","Stipagrostis uniplumis",87.18
"S2P28","Stipagrostis uniplumis",40.9
"S2P29","Schmidtia kalihariensis",29.36
"S2P30","Stipagrostis uniplumis",109.59
"S3P01","Stipagrostis uniplumis",72.17
"S3P02","Stipagrostis uniplumis",81.48
"S3P03","Tall Bushman",93.29
"S3P04","Stipagrostis uniplumis",22.15
"S3P05","Eragrostis pallens",91.04
"S3P06","Stipagrostis uniplumis",45.04
"S3P07","Tall Bushman",113.07
"S3P08","Stipagrostis uniplumis",78.87
"S3P09","Stipagrostis uniplumis",37.86
"S3P10","Tall Bushman",149.24
"S3P11","Schmidtia pappophoroides",88.98
"S3P12","Eragrostis pallens",135.94
"S3P13","Tall Bushman",188.46
"S3P14","Stipagrostis uniplumis",229.93
"S3P15","Stipagrostis uniplumis",189.88
"S3P16","Stipagrostis uniplumis",137.53
"S3P17","Tall Bushman",109.83
"S3P18","Stipagrostis uniplumis",7.94
"S3P19","Schmidtia pappophoroides",16.34
"S3P20","Schmidtia pappophoroides",131.64
"S3P21","Stipagrostis uniplumis",192.53
"S3P22","Schmidtia pappophoroides",68.82
"S3P23","Stipagrostis uniplumis",78.97
"S3P24","Tall Bushman",119.65
"S3P25","Tall Bushman",88.67
"S3P26","Tall Bushman",98.88
"S3P27","Stipagrostis uniplumis",33.76
"S3P28","Schmidtia pappophoroides",100.28
"S3P29","Schmidtia kalihariensis",27.54
"S3P30","Schmidtia pappophoroides",170.57
