Plot,Easting(m),Northing(m),Altitude,RtkStdLon,RtkStdLat,RtkStdHgt
S2P01,522436.7471,7339129.677,1162.106,0.01304,0.01067,0.02843
S2P02,522437.5043,7339139.237,1162.406,0.01333,0.01085,0.0277
S2P03,522447.4235,7339123.559,1161.767,0.01165,0.01178,0.02762
S2P04,522459.8384,7339132.999,1162.041,0.01415,0.01176,0.02685
S2P05,522477.6889,7339147.379,1162.254,0.01233,0.01128,0.02539
S2P06,522472.4167,7339124.144,1162.283,0.01168,0.01133,0.02408
S2P07,522452.5768,7339123.498,1161.795,0.01256,0.01285,0.03017
S2P08,522436.2139,7339115.749,1161.758,0.0154,0.01217,0.02618
S2P09,522440.263,7339120.811,1161.772,0.01781,0.01329,0.03115
S2P10,522461.6082,7339108.94,1161.65,0.01296,0.0119,0.02549
S2P11,522453.7781,7339138.129,1162.04,0.01313,0.01189,0.02691
S2P12,522461.7726,7339125.614,1161.959,0.01382,0.01215,0.02719
S2P13,522465.6958,7339124.268,1161.982,0.01418,0.01167,0.02711
S2P14,522479.5897,7339143.895,1162.182,0.0129,0.01323,0.02969
S2P15,522442.2581,7339141.171,1162.213,0.01332,0.01306,0.02477
S2P16,522436.8121,7339145.819,1162.487,0.01335,0.01148,0.02679
S2P17,522470.0052,7339124.153,1162.174,0.01411,0.01149,0.03085
S2P18,522468.0425,7339145.761,1162.125,0.01169,0.01114,0.02506
S2P19,522478.6738,7339148.506,1162.256,0.01288,0.0122,0.02822
S2P20,522445.9256,7339155.053,1162.427,0.01374,0.01193,0.0274
S2P21,522445.7589,7339149.862,1162.382,0.01333,0.01199,0.0273
S2P22,522451.2122,7339121.409,1161.755,0.01335,0.01304,0.03205
S2P23,522474.5996,7339129.436,1162.252,0.01201,0.01129,0.02414
S2P24,522470.9819,7339142.091,1162.2,0.01244,0.01124,0.02417
S2P25,522465.6292,7339123.324,1161.989,0.01286,0.01126,0.02707
S2P26,522475.1313,7339137.191,1162.382,0.01164,0.01175,0.02433
S2P27,522466.4233,7339127.219,1162.077,0.01238,0.01298,0.02612
S2P28,522461.3854,7339134.116,1162.083,0.01303,0.01181,0.02636
S2P29,522433.4846,7339132.826,1162.269,0.01392,0.01183,0.03074
S2P30,522455.6251,7339143.822,1162.106,0.01222,0.01166,0.02544
