latitude,longitude,altitude,xy_accuracy,z_accuracy,datetime_stamp,Plot_ID
-24.05984922,21.22069478,1162.106,0.03,0.06,2024:03:28 16:12:20,S2P01
-24.05976286,21.22070208,1162.406,0.03,0.06,2024:03:28 16:13:37,S2P02
-24.05990433,21.22079989,1161.767,0.03,0.06,2024:03:28 16:11:25,S2P03
-24.05981889,21.22092186,1162.041,0.03,0.06,2024:03:28 15:58:27,S2P04
-24.05968875,21.22109722,1162.254,0.03,0.06,2024:03:28 16:04:47,S2P05
-24.05989869,21.22104572,1162.283,0.03,0.06,2024:03:28 15:55:03,S2P06
-24.05990481,21.22085058,1161.795,0.03,0.06,2024:03:28 16:09:40,S2P07
-24.05997503,21.22068975,1161.758,0.03,0.06,2024:03:28 15:41:57,S2P08
-24.05992925,21.2207295,1161.772,0.03,0.06,2024:03:28 15:43:29,S2P09
-24.06003617,21.22093964,1161.65,0.03,0.06,2024:03:28 15:46:03,S2P10
-24.05977264,21.22086217,1162.04,0.03,0.06,2024:03:28 15:59:21,S2P11
-24.05988556,21.220941,1161.959,0.03,0.06,2024:03:28 15:48:04,S2P12
-24.05989767,21.22097961,1161.982,0.03,0.06,2024:03:28 15:47:12,S2P13
-24.05972019,21.22111597,1162.182,0.03,0.06,2024:03:28 16:06:43,S2P14
-24.05974533,21.22074881,1162.213,0.03,0.06,2024:03:28 15:49:09,S2P15
-24.05970342,21.22069517,1162.487,0.03,0.06,2024:03:28 15:50:22,S2P16
-24.05989864,21.221022,1162.174,0.03,0.06,2024:03:28 16:07:50,S2P17
-24.0597035,21.22100236,1162.125,0.03,0.06,2024:03:28 16:03:58,S2P18
-24.05967856,21.22110689,1162.256,0.03,0.06,2024:03:28 16:05:23,S2P19
-24.05961989,21.22078467,1162.427,0.03,0.06,2024:03:28 16:02:33,S2P20
-24.05966678,21.22078311,1162.382,0.03,0.06,2024:03:28 16:01:30,S2P21
-24.05992369,21.22083719,1161.755,0.03,0.06,2024:03:28 16:10:34,S2P22
-24.05985086,21.22106711,1162.252,0.03,0.06,2024:03:28 15:53:55,S2P23
-24.05973661,21.22103133,1162.2,0.03,0.06,2024:03:28 15:52:23,S2P24
-24.05990619,21.22097897,1161.989,0.03,0.06,2024:03:28 16:08:36,S2P25
-24.05978081,21.22107222,1162.382,0.03,0.06,2024:03:28 15:53:06,S2P26
-24.059871,21.22098672,1162.077,0.03,0.06,2024:03:28 15:56:02,S2P27
-24.05980878,21.22093706,1162.083,0.03,0.06,2024:03:28 15:57:03,S2P28
-24.05982083,21.22066264,1162.269,0.03,0.06,2024:03:28 16:16:09,S2P29
-24.05972119,21.22088025,1162.106,0.03,0.06,2024:03:28 16:00:25,S2P30
